419551477591_2817467	fluffffyyy
419551477591_2817640	1st! 
419551477591_2817876	http://www.youtube.com/watch?v=A0m-A80VUIs fluffy ;]
419551477591_2817964	i got your feet (gigles)
419551477591_2818512	" Lets go kill more games"
419551477591_2819331	Almost everyone else says
419551477591_2819350	fluffy!!!
419551477591_2821051	Hannah5ZoemoseleymoxrhettjoeloveHfjjdhfhfhddhjfhddfhffnnfhjbfvnn
419551477591_2821153	fluffy
419551477591_2821549	fluffy dogy
419551477591_2821985	so fluffy
419551477591_2822218	i like it to funny
419551477591_2823310	"fluffy"!!!!
419551477591_2825887	id hve 1 cuzz i lyk all of dem
419551477591_2863937	<3 Agnes
419551477591_2897540	fluffy!
114439718608568_384027	Despicable me, GREAT!! I like it
141707332521677_1105422	i love it !!! soo funny 
141925515833483_1102392	I live for gru!
138296222866138_1028260	Worked for me
138296222866138_1033371	A fun movie, I liked it.
141487362533976_1074135	haha i havn't tasted it
141487362533976_1076330	entered 
127850713923060_780200	great movie! blog post: http://berry20.blogspot.com/2010/06/one-of-good-ones.html
411696482591_2689223	me 2!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
411696482591_2690365	i feel bad for russel
411696482591_4170654	russell brand and katy brand!!!! i love russell brand
411696222591_2692875	boring. ive seen better
138589929500399_1001357	i hate 3D!!!!
124941914215106_685739	i like toy store betterr
849804892055_1998842	great video
140938119256387_1071723	best game eva
849101327005_1991285	haha. best part everrrrrrrr lol
849101327005_14366845	knocked over!!
106150229437768_163917	me love Despicable me!
408435600162_13166756	Ha fartgun. I have one sometimes.
406475065162_25562319	excited!!!!,i like it
406457585162_25302352	Bye
402931935162_13202172	me 2
123620407677163_651454	me 3!
397447005162_12953149	forget the kids i'm going 
329829905162_25497732	Tyler Barnhart
221512542591_3429793	huge fan
137802056496_4073120	hmmmmmm...
