419551477591_2817717	"Like Santa!"
419551477591_2817858	I said dart gun not fart gun!
419551477591_2818157	"I like him." "But he's kinda scary.""Yeah...like Santa!"
419551477591_2818198	Like many said: IT'S SO FLUFFY IM GONNA DIE!!!!!!!!!!
419551477591_2818251	"I got your leeeggggg!" 
419551477591_2818329	" Para tu "!
419551477591_2818347	When Minion say: de mi para tu!! Ha ha ha ha... Super funny!!
419551477591_2818638	Y r u in ur pajamas
419551477591_2818760	I said a dart gun, not a ...
419551477591_2819123	'I said dart gun'
419551477591_2819273	ITS SO FLUFFFFY IM GNA DIEEEE *hugggs**
419551477591_2819566	FLUFFY...duh. lol
419551477591_2820007	haha i LOVE dis part.:)
419551477591_2823605	"I said dart gun!"
419551477591_2824401	Santa**
419551477591_2829279	ITTTTTTSSSSSOOOOOFFLLLUFFFYYYYY
419551477591_2830858	flufeh!!!!!!!!andy r u wearing pajamas
419551477591_5848291	But santa!!
419551477591_7162806	,cvxxcmvb,mbghgkhghlghgkhghgfhlgklhghkgfhfgjgkgfhgfhgfhlgkhgfhkgjhjgkhghg
419551477591_8939149	Lizbeth SolisAlejandra' Quintana
114439718608568_382451	IDk
114439718608568_382477	Kaori, don't you mean Facebook? Haha.
114439718608568_382497	penis
128373800539579_818249	ehh ehh para tu!!!
144774822206152_1157769	yum pancakes
112199138831567_313300	ddd- despici.... Gah! Dddd... Hahahhaha! >.< THUMP...despicable me!
112199138831567_314117	Huzzah!
127850713923060_780569	Funny
133180676715095_910372	Pen 15.
849804892055_2447723	Funny
136388736389195_968932	oh yeah1
140938119256387_1071684	yeah LIKE ME AUTHER I AM A LITTLE KID STUPIUD!!!!!!!!!!!!!
125904197450767_730621	I said DART gun not... Ohhh!
408435600162_13166767	I said dart gun not fart gun!
139535782728256_1005276	I said a 'DART gun' not a 'FART gun'!
406762075162_13135568	shark sukk!!
406884592591_2617702	No... I said a DART gun...
134552939894283_849837	i said dart gun not fart gun!
397447005162_12984786	i said dart gun not fart gun !!!
397447005162_13029728	Gotta make mah OWN MINION!
119425661414882_637584	butt
381855535162_12656871	:Walking TWINKIES!!!! YES!!!!!
329829905162_24622555	Jitendra Rautela R Ranjith Pillai te dekh ranjit ko bolte huae
329829905162_25578496	sucka punch
300508132857_11741980	Am I?
