419551477591_2817507	SO FLUFFY!!!!!
419551477591_2818506	quote: ITS SO FLUFFY IM GONNA DIE!!
419551477591_2818643	SOOOOOOOOOOOOOOOOOOOO FLUUUUUUUUUUUFFFFFFFFFAAAAAAAAAYYYYYYYYYYYY!!!!!!!!!!!!!!!
419551477591_2818651	ITS SOOOOOOOOOO FLLLLUUUUFFFFYYYY...I'M GOOOONNNNAAAA DDDIIIEE!!! lmao!
419551477591_2819226	Cute 
419551477591_2821420	'' OH POOP''
419551477591_2830703	>:O ITS SO FLUFFY!Lol ^_^
419551477591_2831303	SO FLUFFY!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
114439718608568_386826	i am very sure emma does....lol...
128373800539579_849448	dave
144774822206152_1156357	Ohhh no lol ^_^
141925515833483_1102489	OK
141925515833483_1104253	Awesome possum
142312399112617_1090876	I do
133180676715095_910374	dAMN RIGHT
411696222591_2689510	LMAO!!
141524869197121_1071478	VJJ? O.o
124941914215106_685727	no
849101327005_1989439	SO CUTE!! 
849101327005_1989812	SO FUNNY!!
136219309730742_986964	 ITSS SOOO FLUUFFFYYYY!!!!!!! <lmao my fav part
125904197450767_730449	ITS SO FLUFFY!!  lmao 
407215145162_24154882	:O
406762075162_13165079	SOOOO FLUFFFFLY!
406762075162_25254585	except for Gru
406457585162_13128766	SO FLUFFY!!!!!!
406457585162_13160258	SOOO FLUFFY
381855535162_12947329	"DOES THIS COUNT AS ANOYING... O O O O O O" SO HILARIOUS!!!!!
188382577591_22202165	Velho é muito massa de mas esse filme..quem ainda não assistiu não sabe o q está perdendo
402168047024_12441659	4 pm. PST (LA) so 1 am GMT
346374851134_12520054	SOOOO FREAKEN AMAZINNNG
329829905162_20586956	e de groaza
329829905162_21237530	tem alguem em portugues por favor dis que tem
