419551477591_2821093	HAVEN"T WATCHED THE MOVIE..
125379754172071_704257	LOVED THE MOVIE!
125379754172071_715750	LOVE THIS GAME
142312399112617_1090857	Hi
411696482591_2690726	HAHA
411696482591_2830689	CURESE YOU TINY TOIELET
411696222591_2689256	TWINS!!!!
140938119256387_1071402	hi
140938119256387_1071586	38th
140938119256387_1071664	999999099999999999999999999999999999999999988th
849101327005_1989458	HAHA
849101327005_1989596	LOVE THIS!!:)
136219309730742_977612	HAHAHAHA http://www.youtube.com/watch?v=t-dTWEAhLK8e 
106640889386474_192802	HI 
123132391062650_640120	hi
407215145162_13148914	MINIONS ARE COMING TO TOWN!!!
407215145162_13153698	CRYSTAL TAKE NOTES!!!
118149141563042_481058	10th
406475065162_13146324	CURSE YOU TINY TOILET!!!
406475065162_25377444	CURSE U LITTLE TINY TOILET!!!!
406884592591_2617627	LOVE 
406884592591_2638492	THE AMERICAN DREAM! LOL
406884592591_2819352	I LOVE THOSE LITTLE MINIONS!!!! :)|
126312690741741_724576	I LIKE THOSE THOSE LITTLE YELLOW THINGS.
403027025162_13169300	HAHAHAHA
123620407677163_652322	WE LOVED THE MOVIE!!!
123620407677163_768177	LOVE THE MINIONS! :)
397760210162_12971549	HAHAHAHAHAHAHA <3
333546145162_25254736	HE'S ALL ALONE!!!!!!!!!! LOL
